Label,Year,Site,ARMS_number,DSC,Scaled,DSC_extra,Phyla,Class,Order,General_name,Specimen,MorphoID,L_mm,W_g,Notes
ARMS19M#173,2019,Anglaise,5,1715,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,3,ARMSMc#020,2.711,0.002119039,
ARMS19M#173,2019,Anglaise,5,1715,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,4,ARMSMc#020,2.775,0.002144822,
ARMS19M#175,2019,Anglaise,5,1718,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#020,3.098,0.002283907,
ARMS19M#175,2019,Anglaise,5,1718,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,2,ARMSMc#020,2.897,0.002195507,
ARMS19M#175,2019,Anglaise,5,1718,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,3,ARMSMc#020,1.482,0.001686467,
ARMS19M#175,2019,Anglaise,5,1718,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,4,ARMSMc#020,2.434,0.002012962,
ARMS19M#175,2019,Anglaise,5,1718,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,5,ARMSMc#020,2.838,0.002170734,
ARMS19M#175,2019,Anglaise,5,1718,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,6,ARMSMc#020,3.342,0.002400637,
ARMS19M#244,2019,Coin,7,2229,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#020,5.978,0.004788006,
ARMS19M#244,2019,Coin,7,2229,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,2,ARMSMc#020,6.162,0.005063428,
ARMS19M#256,2019,Coin,7,2231,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#020,3.08,0.002275722,
ARMS19M#256,2019,Coin,7,2231,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,2,ARMSMc#020,3.529,0.002498108,
ARMS19M#444,2019,Moresby,9,2778,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,,ARMSMc#020,6.043,0.004883262,
ARMS22M#225,2022,Anglaise,1,8403,N,"8386, 8387",Arthropoda,Malacostraca,Decapoda,Shrimp,,ARMSMc#020,2.334,0.001976536,figure out size of tiles for scale
ARMS22M#278,2022,Anglaise,2,IMG_0570,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,,ARMSMc#020,4.506,0.003152396,preserved 2.5 years
ARMS22M#440,2022,Moresby,6,8984,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#020,3.656,0.002568713,
ARMS22M#440,2022,Moresby,6,8984,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,2,ARMSMc#020,2.54,0.002052581,
ARMS22M#440,2022,Moresby,6,8984,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,3,ARMSMc#020,3.359,0.002409196,
ARMS22M#440,2022,Moresby,6,8984,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,4,ARMSMc#020,2.592,0.002072439,
ARMS22M#440,2022,Moresby,6,8984,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,5,ARMSMc#020,3.153,0.002309264,
ARMS22M#440,2022,Moresby,6,8984,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,6,ARMSMc#020,2.871,0.002184528,
ARMS22M#440,2022,Moresby,6,8984,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,7,ARMSMc#020,2.723,0.002123833,
