Label,Year,Site,ARMS_number,DSC,Scaled,DSC_extra,Phyla,Class,Order,General_name,Abundance_in_image,MorphoID,Notes
ARMS21M#52,2021,Anglaise,1,3003,Y,,Mollusca,Gastropoda,Neogastropoda,Olive_snail,1,ARMSMc#163,
ARMS21M#55,2021,Anglaise,1,3005,Y,,Mollusca,Gastropoda,Neogastropoda,Olive_snail,1,ARMSMc#164,
ARMS22M#287,2022,Anglaise,2,IMG_0554,Y,,Annelida,Polychaeta,,Bristleworm,1,ARMSMc#005,preserved 2.5 years
ARMS21M#57,2021,Anglaise,1,3011,Y,,Annelida,Polychaeta,Phyllodocida,Scaleworm,1,ARMSMc#136,
ARMS22M#448,2022,Moresby,6,8998,Y,,Annelida,Polychaeta,,Bristleworm,1,ARMSMc#005,
ARMS21M#58,2021,Anglaise,1,3015,Y,,,,,???,1,,
ARMS21M#61,2021,Anglaise,1,3016,Y,,Annelida,,,Worm,1,ARMSMc#145,
ARMS22M#467,2022,Moresby,6,9040,Y,,Annelida,Polychaeta,,Bristleworm,1,ARMSMc#005,
ARMS21M#60,2021,Anglaise,1,3019,Y,,Arthropoda,Malacostraca,Decapoda,Squat_lobster,1,ARMSMc#010,
ARMS22M#469,2022,Moresby,6,9043,Y,,Annelida,Polychaeta,,Bristleworm,1,ARMSMc#005,
ARMS21M#21,2021,Anglaise,1,2958,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#007,
ARMS21M#65,2021,Anglaise,1,3024,Y,,Arthropoda,Malacostraca,Decapoda,Crab,1,ARMSMc#231,
ARMS21M#67,2021,Anglaise,1,3198,Y,3205,Mollusca,Gastropoda,Nudibranchia,Nudibranch,1,ARMSMc#082,
ARMS21M#92,2021,Anglaise,1,3309,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#007,
ARMS21M#68,2021,Anglaise,1,3208,Y,3212,Arthropoda,Malacostraca,Decapoda,Crab,1,ARMSMc#207,decorator crab
ARMS21M#97,2021,Anglaise,1,3325,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#007,
ARMS21M#70,2021,Anglaise,1,3219,Y,,Annelida,Polychaeta,,Bristleworm,1,ARMSMc#146,
ARMS21M#98,2021,Anglaise,1,3329,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,3,ARMSMc#007,
ARMS21M#72,2021,Anglaise,1,3225,Y,3226,Arthropoda,Malacostraca,Decapoda,Crab,1,ARMSMc#265,
ARMS21M#73,2021,Anglaise,1,3227,Y,,Mollusca,Gastropoda,Neogastropoda,Murex_snail,1,ARMSMc#138,
ARMS21M#74,2021,Anglaise,1,3233,Y,3235,Mollusca,Bivalvia,Pectinida,Scallop,1,ARMSMc#098,
ARMS21M#75,2021,Anglaise,1,3236,Y,,Mollusca,Bivalvia,Pectinida,Scallop,1,ARMSMc#099,
ARMS21M#76,2021,Anglaise,1,3238,Y,3240,Arthropoda,Malacostraca,Decapoda,Crab,1,ARMSMc#266,
ARMS21M#77,2021,Anglaise,1,3242,Y,,Annelida,,,Worm,2,ARMSMc#147,
ARMS21M#78,2021,Anglaise,1,3243,Y,,Annelida,,,Worm,1,ARMSMc#147,
ARMS21M#101,2021,Anglaise,1,3338,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#007,
ARMS21M#80,2021,Anglaise,1,3250,Y,3252,Arthropoda,Malacostraca,Decapoda,Crab,1,ARMSMc#268,
ARMS21M#81,2021,Anglaise,1,3254,Y,,Mollusca,Gastropoda,Nudibranchia,Nudibranch,1,ARMSMc#006,
ARMS21M#83,2021,Anglaise,1,3256,Y,,Annelida,,,Worm,2,ARMSMc#145,
ARMS21M#298,2021,Moresby,1,5161,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#007,
ARMS21M#84,2021,Anglaise,1,3269,Y,,Mollusca,Bivalvia,Pteriida,Pen_shell,1,ARMSMc#100,
ARMS19M#003,2019,Coin,2,0576,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#007,
ARMS21M#44,2021,Anglaise,1,3278,Y,3277,Platyhelminthes,,,Flatworm,1,ARMSMc#112,
ARMS19M#103,2019,Anglaise,4,1408,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,2,ARMSMc#007,
ARMS19M#119,2019,Anglaise,4,1427,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,4,ARMSMc#007,
ARMS19M#121,2019,Anglaise,4,1429,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,7,ARMSMc#007,
ARMS19M#207,2019,Anglaise,6,1945,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#007,
ARMS19M#330,2019,Moresby,8,2502,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,3,ARMSMc#007,
ARMS19M#434,2019,Moresby,9,2768,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#007,
ARMS19M#441,2019,Moresby,9,2775,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#007,
ARMS19M#442,2019,Moresby,9,2776,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,2,ARMSMc#007,
ARMS19M#446,2019,Moresby,9,2780,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#007,
ARMS21M#89,2021,Anglaise,1,3304,Y,,Arthropoda,Malacostraca,Decapoda,Crab,1,ARMSMc#266,
ARMS21M#90,2021,Anglaise,1,3306,Y,,Mollusca,Gastropoda,Littorinimorpha,Cowry,1,ARMSMc#154,
ARMS21M#91,2021,Anglaise,1,3307,Y,,Annelida,,,Worm,1,ARMSMc#148,
ARMS22M#274,2022,Anglaise,2,IMG_0518,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#007,preserved 2.5 years
ARMS21M#93,2021,Anglaise,1,3312,Y,,Annelida,,,Worm,1,ARMSMc#145,
ARMS21M#94,2021,Anglaise,1,3317,Y,,Arthropoda,Malacostraca,Decapoda,Spider_crab,1,ARMSMc#217,
ARMS21M#95,2021,Anglaise,1,3318,Y,3321,Arthropoda,Malacostraca,Decapoda,Spider_crab,1,ARMSMc#206,
ARMS21M#96,2021,Anglaise,1,3323,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,2,ARMSMc#249,
ARMS22M#282,2022,Anglaise,2,IMG_0579,Y,IMG_0580,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#007,"preserved 2.5 years, nice close up"
ARMS22M#128,2022,Coin,7,7883,Y,7884,Arthropoda,Malacostraca,Decapoda,Shrimp,6,ARMSMc#007,mix of morphospecies
ARMS21M#129,2021,Anglaise,2,3634,Y,,Echinodermata,Ophiuroidea,,Brittlestar,1,ARMSMc#009,
ARMS21M#100,2021,Anglaise,1,3334,Y,,Annelida,,,Worm,1,ARMSMc#136,
ARMS21M#128,2021,Anglaise,2,3639,Y,,Echinodermata,Ophiuroidea,,Brittlestar,1,ARMSMc#009,
ARMS21M#194,2021,Anglaise,3,4369,Y,4374,Echinodermata,Ophiuroidea,,Brittlestar,1,ARMSMc#009,
ARMS21M#496,2021,Coin,2,6562,Y,,Echinodermata,Ophiuroidea,,Brittlestar,1,ARMSMc#009,
ARMS21M#498,2021,Coin,2,6570,Y,6572,Echinodermata,Ophiuroidea,,Brittlestar,1,ARMSMc#009,
ARMS19S#027,2019,Coin,1,0401,Y,,Echinodermata,Ophiuroidea,,Brittlestar,1,ARMSMc#009,motile even though S
ARMS19M#010,2019,Coin,2,0591,Y,,Echinodermata,Ophiuroidea,,Brittlestar,1,ARMSMc#009,
ARMS19M#018,2019,Coin,2,0591,Y,,Echinodermata,Ophiuroidea,,Brittlestar,1,ARMSMc#009,
